"조서관리코드","프로젝트코드","지자체","조서유형(구분)","대분류","중분류","소분류","위치명","지역명","면적기정","면적증감코드","면적변경","면적변경후","결정고시관리코드"
"11000AGZ198706222617","11000PPL198706228933","서울특별시","신설","의제처리구역","정비구역","재개발사업지구","행당동 342-81","금호1-5주택재개발정비지구","0","","","26285","11000NTC198706228933"
"11000AGZ198706222618","11000PPL198706228933","서울특별시","신설","의제처리구역","정비구역","주택재개발사업지구","행당동 22-61","금호제1구역 6지구","0","","","109715","11000NTC198706228933"
"11000AGZ198706222620","11000PPL198706228933","서울특별시","신설","의제처리구역","정비구역","주택재개발사업지구","금호동 산37-1","금호1-7주택재개발정비구역","0","","","79660.3","11000NTC198706228933"
"11000AGZ198706222621","11000PPL198706228933","서울특별시","변경","의제처리구역","정비구역","재개발사업지구","응봉동 134-5","금호1-1주택재개발정비지구","20212","","","22177","11000NTC198706228933"
"11000AGZ198706232622","11000PPL198706238935","서울특별시","신설","의제처리구역","정비구역","주택재개발사업구역","도봉구 수유동 240번지 일대","수유제1구역","0","","","70038","11000NTC198706238935"
"11000AGZ198706232623","11000PPL198706238935","서울특별시","변경","의제처리구역","정비구역","주택재개발사업구역","성동구 행당동 317번지일대","하왕제2구역","94918","","","110788","11000NTC198706238935"
"11000AGZ198707142625","11000PPL198707148991","서울특별시","변경","의제처리구역","정비구역","주택재개발사업구역","용산구 한강로2가12번지일대","한강로구역","6900","","","6693","11000NTC198707148991"
"11000AGZ198707162626","11000PPL198707168996","서울특별시","신설","의제처리구역","정비구역","주택재개발사업구역","강동구 천호동 153번지일대","천호제4구역","0","","","23130","11000NTC198707168996"
"11000AGZ198707212627","11000PPL198707219009","서울특별시","변경","의제처리구역","정비구역","주택재개발사업구역","성동구 하왕십리동1038번지일대","하왕제2구역","110788","","","111083","11000NTC198707219009"
"11000AGZ198707212628","11000PPL198707219009","서울특별시","변경","의제처리구역","정비구역","주택재개발사업구역","성동구 옥수동24-16번지일대","옥수제7구역","65716","","","64619","11000NTC198707219009"
"11000AGZ198707212629","11000PPL198707219009","서울특별시","변경","의제처리구역","정비구역","주택재개발사업구역","서대문구 홍제동 25번일대","홍제제9구역","60510","","","61121","11000NTC198707219009"
"11000AGZ198707212630","11000PPL198707219009","서울특별시","변경","의제처리구역","정비구역","주택재개발사업구역","서대문구 홍제동 산1번지일대","홍제제1구역","50790","","","48780","11000NTC198707219009"
"11000AGZ200810229759","11000PPL200609170365","서울특별시","신설","의제처리구역","정비구역","주택재건축사업","서대문구 홍은동 104-4번지 외 161필지","홍은1주택재건축정비구역","","","","19246","11000NTC200609170365"
"11000AGZ200810277516","11000PPL200608100300","서울특별시","변경","의제처리구역","정비구역","주택재개발사업구역","서대문구 충정로2가 65, 냉천동 75번지 일대","충정로?냉천주택재개발정비구역","43908.8","","","43946.3","11000NTC200608100300"
"11000AGZ200810287522","11000PPL200703290884","서울특별시","신설","의제처리구역","정비구역","주택재개발사업구역","성동구 하왕십리동 700번지 일대","왕십리3주택재개발정비구역","","","","136310","11000NTC200703290884"
"11000AGZ200505124368","11000PPL200505128163","서울특별시","신설","의제처리구역","정비구역","주택재개발사업구역","성북구 길음동 625-17 번지 일대","길음제7주택재개발구역","0","","","32474","11000NTC200505128163"
"11000AGZ200505124369","11000PPL200505128163","서울특별시","신설","의제처리구역","정비구역","주택재개발사업구역","성북구 길음동 612-10번지 일대","길음제8주택재개발구역","","","","101943","11000NTC200505128163"
"11000AGZ200505124370","11000PPL200505128163","서울특별시","신설","의제처리구역","정비구역","주택재개발사업구역","성북구 정릉동 10 번지 일대","정릉？길음제9주택재개발구역","","","","69825.1","11000NTC200505128163"
"11000AGZ200505124373","11000PPL200505128187","서울특별시","변경","의제처리구역","정비구역","재개발사업구역","동작구 상도동 산47번지 일대","상도4주택재개발정비구역","154114.5","","","154242.5","11000NTC200505128187"
"11000AGZ200505194378","11000PPL200505198255","서울특별시","변경","의제처리구역","정비구역","도시환경정비사업구역","중구 충무로 4가79번지 일대","","","","","6779.2","11000NTC200505198255"
"11000AGZ200505194379","11000PPL200505198254","서울특별시","신설","의제처리구역","정비구역","주거환경개선사업구역","서대문구 현저동 1 번지 일대","현저2주거환경개선지구","","","","31349","11000NTC200505198254"
"11000AGZ200505194380","11000PPL200505198253","서울특별시","신설","의제처리구역","정비구역","주거환경개선사업","서대문구 홍은동 8-235번지 일대","홍은2-2주거환경개선지구","","","","27728","11000NTC200505198253"
"11000AGZ200505194382","11000PPL200505198247","서울특별시","변경","의제처리구역","정비구역","주거환경개선사업","옥인동 177외 2필지","누상?옥인주거환경개선지구","50772.6","","","51167.9","11000NTC200505198247"
"11000AGZ200505194383","11000PPL200505198240","서울특별시","변경","의제처리구역","정비구역","주택재개발사업구역","성북구 길음동 1273번지일대","길음제2주택재개발구역","125100","","","124975","11000NTC200505198240"
"11000AGZ200505304583","11000PPL200505308321","서울특별시","변경","의제처리구역","정비구역","주택재개발사업구역","성북구 돈암동 606,616번지일대","동소문주택재개발구역","290649.27","","","291150.8","11000NTC200505308321"
"11000AGZ200506024564","11000PPL200506028336","서울특별시","신설","의제처리구역","정비구역","주택재개발사업구역","성북구 종암동 78번지 일대","종암제4주택재개발사업","","","","60053","11000NTC200506028336"
"11000AGZ200506024567","11000PPL200506028340","서울특별시","변경","의제처리구역","정비구역","재개발사업구역","성동구 금호동 3가 1265번지 일대","금호10주택재개발정비구역","20639.3","","","20606.5","11000NTC200506028340"
"11000AGZ200506024568","11000PPL200506028341","서울특별시","변경","의제처리구역","정비구역","재개발사업구역","성동구 행당동 338-6번지 일대","행당4주택재개발정비구역","24885","","","24796","11000NTC200506028341"
"11000AGZ200506024570","11000PPL200506021284","서울특별시","신설","의제처리구역","정비구역","주택재개발사업구역","서대문구 북가좌동 75번지 일대","가좌뉴타운제1구역 주택재개발정비사업","19886","","","19886","11000NTC200506021284"
"11000AGZ200506024571","11000PPL200506021284","서울특별시","신설","의제처리구역","정비구역","주택재개발사업구역","서대문구 남가좌동 240번지 일대","가좌뉴타운제2구역 주택재개발정비사업","25830","","","25830","11000NTC200506021284"
"11000AGZ200506094572","11000PPL200506098383","서울특별시","신설","의제처리구역","정비구역","주택재개발사업구역","성북구 길음동 625-17 번지 일대","길음제7주택재개발사업","","","","32474","11000NTC200506098383"
"11000AGZ200506094573","11000PPL200506098399","서울특별시","변경","의제처리구역","정비구역","주택재개발사업구역","서대문구 남가좌동 260번지 일대","남가좌8주택재개발정비구역","28311.2","","","28270.2","11000NTC200506098399"
"11000AGZ200506154581","11000PPL200506158426","서울특별시","변경","의제처리구역","정비구역","주택재개발사업구역","관악구 봉천9동 산102번지 일대","봉천 제4-2 주택재개발구역","115179","","","115172","11000NTC200506158426"
"11000AGZ200506244582","11000PPL200506248511","서울특별시","변경","의제처리구역","정비구역","주거환경개선사업구역","봉천8동 1522-1","봉천8-1주거환경개선지구","","","","5018.3","11000NTC200506248511"
"11000AGZ200506304580","11000PPL200506300555","서울특별시","신설","의제처리구역","정비구역","주택재건축사업","성동구 송정동1-43번지 일원","장미？세림연립주택재건축 정비구역","0","","","13600","11000NTC200506300555"
"11000AGZ201410068397","11000PPL201112296369","서울특별시","기정","의제처리구역","정비구역","주택재개발사업구역","동대문구 휘경동 243번지 일대","휘경1재정비촉진구역","12926.8","","0","12926.8","11000NTC201112296369"
"11000AGZ199209250307","11000PPL199209253316","서울특별시","변경","의제처리구역","정비구역","주택재개발사업구역","동대문구 답십리동 86번지 일대","답십리7구역","64689","","","64392","11000NTC199209253316"
"11000AGZ199209250330","11000PPL199209253315","서울특별시","변경","의제처리구역","정비구역","주택재개발사업구역","구로구 시흥동 산100-1번지 일대","시흥2-1구역","","","","291216","11000NTC199209253315"
"11000AGZ199210190246","11000PPL199210193344","서울특별시","신설","의제처리구역","정비구역","주거환경개선사업","용산구 후암동 406 일대","후암1지구","0","","","7746","11000NTC199210193344"
"11000AGZ201210308198","11000PPL201210196663","서울특별시","변경","의제처리구역","정비구역","주택재개발사업구역","용산구 효창동 13번지 일대","효창제5구역 주택재개발정비구역","22915.6","2","4.1","22911.5","11000NTC201210196663"
"11000AGZ201612019683","11000PPL201510147615","서울특별시","변경","의제처리구역","정비구역","도시환경정비사업지구","중구 저동1가 48번지 일대","명동구역 제4지구 도시환경정비구역","4088.8","1","50.4","4139.2","11000NTC201510147615"
"11000AGZ201612019684","11000PPL201608087839","서울특별시","변경","의제처리구역","정비구역","도시환경정비사업지구","중구 저동1가 48번지 일대","명동구역 제4지구 도시환경정비구역","4139.2","1","0.2","4139.4","11000NTC201608087839"
"11000AGZ201612039229","11000PPL201604217758","서울특별시","변경","의제처리구역","정비구역","재개발사업구역","중구 남대문로5가 395번지 일대","양동구역 제4-2.7지구","20323.8","1","26.9","20350.7","11000NTC201604217758"
