순번,정비 구역명,시군구명,법정동명,번,지,지목,지구유형,사업시행방식,시행자 구분,시행단계,정비유형,생활권유형,정비구역 면적(제곱미터),용적률,건폐율,기본계획명,고시번호,고시일
38,흑석2재정비촉진구역 재개발정비사업,동작구,흑석동,99,3,도로,재정비촉진지구,(촉)도시환경정비,주택공사등,주민대표회의구성통지,,,"45,229",400,54,,서울특별시고시 제2008307호,2008-09-11
39,흑석11 재정비촉진구역 주택재개발정비사업,동작구,흑석동,304,0,도로,정비(예정)구역,(촉)재개발,조합(단독),조합설립인가,전면,C(대생활권),"86,529",227,35,,서울특별시고시 제2012196호,201207-26
40,노량진1재정비촉진구역,동작구,노량진동,278,2,대,재정비촉진지구,(촉)재개발,조합(단독),조합설립인가,전면,,"132,132",264,27,,서울특별시고시 제2020216,2020-05-28
41,노량진3재정비촉진구역,동작구,노량진동,232,19,대,재정비촉진지구,(촉)재개발,조합(단독),사업시행인가,전면,,"73,068",241,22,도시주거환경정비,서울특별시고시 제2020-398호,2020-09-24
42,노량진5 재정비촉진구역 주택재개발정비사업조합,동작구,노량진동,270,3,대,재정비촉진지구,(촉)재개발,조합(단독),사업시행인가,,,"38,017",271,19,,제2009503호,2009-12-10
43,신대방역세권 도시정비형 재개발정비사업,동작구,신대방동,600,14,대,정비(예정)구역,도시정비형 재개발,조합(단독),추진위구성,전면,,587,334,31,,서울특별시고시 제2015213호,2015-07-23
44,공덕 제6주택재개발정비구역,마포구,공덕동,119,0,대,정비(예정)구역,주택정비형재개발,조합(단독),조합설립인가,전면,B(중생활권),"11,326",235,27,도시주거환경정비,제2018-433호,2019-01-03
45,가재울7재정비촉진구역,서대문구,북가좌동,80,0,대,재정비촉진지구,(촉)재개발,조합(단독),추진위구성,,,"78,640",255,50,가재울재정비촉진계획,제2012-144호,2012-06-07
46,가재울9재정비촉진구역(좌원상가 도시재생 인정사업),서대문구,남가좌동,295,5,대,정비(예정)구역,(촉)도시정비형,주택공사등,정비구역지정,,,"3,007",,,,서울특별시 고시 제2021-214호,2021-05-06
47,홍은5주택재건축정비구역,서대문구,홍은동,277,45,대,정비(예정)구역,재건축(단독),조합(단독),조합설립인가,,,"34,817",252,24,도시주거환경정비,서울특별시고시 제2009-202호,2009-05-21
48,북가좌제6구역 주택재건축정비구업,서대문구,북가좌동,372,1,대,정비(예정)구역,재건축(단독),조합(단독),조합설립인가,,,"104,656",250,35,도시주거환경정비,서울특별시고시 제2014-202호,2014-05-29
49,마포로4-01,서대문구,북아현동,883,0,대,정비(예정)구역,(촉)도시환경정비,조합(단독),정비구역지정,,,"2,815",,,2025 서울시 도시 및 주거환경정비기본계획,,
50,마포로4-02,서대문구,북아현동,784,0,대,정비(예정)구역,(촉)도시환경정비,조합(단독),정비구역지정,,,"2,250",,,2025 서울시 도시 및 주거환경정비기본계획,,
51,마포로4-05,서대문구,충정로3가,190,5,대,정비(예정)구역,도시정비형재개발,조합(단독),정비구역지정,,,"2,805",,,2025 서울시 도시 및 주거환경정비기본계획,,
52,마포로4-07,서대문구,충정로2가,78,0,대,정비(예정)구역,도시정비형재개발,조합(단독),정비구역지정,,,"5,455",,,2025 서울시 도시 및 주거환경정비기본계획,,
53,미포로5구역제2지구도시환경정비사업,서대문구,충정로3가,250,70,대,정비(예정)구역,도시정비형재개발,조합(단독),추진위구성,,,"4,566",526,60,2025 서울시 도시 및 주거환경정비기본계획,서울특별시고시 2009242호,2009-06-18
54,마포로5-03,서대문구,충정로3가,360,25,대,정비(예정)구역,도시정비형재개발,조합(단독),정비구역지정,,,"1,971",,,2025 서울시 도시 및 주거환경정비기본계획,,
55,마포로5-04,서대문구,충정로3가,368,2,대,정비(예정)구역,도시정비형재개발,토지등소유자,정비구역지정,,,"3,748",,,2025 서울시 도시 및 주거환경정비기본계획,,
56,마포로5-08,서대문구,합동,21,1,종교용지,정비(예정)구역,도시정비형재개발,조합(단독),정비구역지정,,,"3,775",,,2025 서울시 도시 및 주거환경정비기본계획,,
57,신촌지역(서대문)1-1,서대문구,창천동,30,10,대,정비(예정)구역,도시정비형재개발,토지등소유자,정비구역지정,,,683,600,60,2025 서울시 도시 및 주거환경정비기본계획,서울특별시 고시 제2021-357호,2021-07-15
58,신촌지역(서대문)1-2,서대문구,창천동,30,8,대,정비(예정)구역,도시정비형재개발,토지등소유자,정비구역지정,,,"1,406.70",600,60,2025 서울시 도시 및 주거환경정비기본계획,서울특별시 고시 제2021-357호,2021-07-15
59,신촌지역(서대문)2-1,서대문구,창천동,18,46,대,정비(예정)구역,도시정비형재개발,토지등소유자,정비구역지정,,,372,600,60,2025 서울시 도시 및 주거환경정비기본계획,서울특별시 고시 제2021-357호,2021-07-15
60,신촌지역(서대문)2-2,서대문구,창천동,18,36,대,정비(예정)구역,도시정비형재개발,토지등소유자,정비구역지정,,,"1,556.90",600,60,2025 서울시 도시 및 주거환경정비기본계획,서울특별시 고시 제2021-357호,2021-07-15
61,신촌지역(서대문)2-3,서대문구,창천동,18,49,대,정비(예정)구역,도시정비형재개발,토지등소유자,정비구역지정,,,580,600,60,2025 서울시 도시 및 주거환경정비기본계획,서울특별시 고시 제2021-357호,2021-07-15
62,홍제2재정비촉진구역,서대문구,홍제동,294,50,대,정비(예정)구역,(촉)도시정비형,조합(단독),조합설립인가,,,"3,069",,,,서울특별시 고시 제2017-477호,2017-12-28
63,홍제3존치정비구역,서대문구,홍제동,306,2,대,정비(예정)구역,(촉)도시정비형,조합(단독),추진위구성,,,"6,506",,,,서울특별시 고시 제2010-452호,2010-12-16
64,방배7구역 주택재건축정비사업,서초구,방배동,891,3,대,정비(예정)구역,재건축(단독),조합(단독),조합설립인가,,,"17,560",230,27,도시주거환경정비 기본계획,서울특별시 서초구 고시 제201783호,2017-07-20
65,성수1구역 주택재건축 정비사업구역,성동구,성수동1가,656,1267,잡종지,정비(예정)구역,재건축(단독),조합(단독),조합설립인가,,,"13,122.50",238,29,도시 및 주거환경정비 기본계획,서울시 고시 제2006-95호,2006-03-23
66,성수전략정비구역 제1지구,성동구,성수동1가,72,10,대,정비구역이 아닌 구역,주택정비형재개발,조합(단독),조합설립인가,,,"194,398",309,21,성수전략정비구역 제1종지구단위계획,서울시 고시 제2011-49호,2011-02-17
67,성수전략정비구역 제2지구 주택재개발정비구역,성동구,성수동2가,506,0,대,정비구역이 아닌 구역,주택정비형재개발,조합(단독),조합설립인가,,,"131,980",317,18,성수전략정비구역 제1종지구단위계획,서울시 고시 제2011-49호,2011-02-17
